station_code,station_name,state,year,temperature,ph,conductivity,tds,nitrate,fluoride,GQI,Quality_Class,Quality_Score,ph_trend,conductivity_trend,tds_trend,gqi_trend,tds_3yr_avg,ph_3yr_avg
1405.0,"WELL AT UDAIPUR (TUBEWELL), TRIPURA",TRIPURA,2017,25.75,8.15,146.0,93.44,,,2.0,Moderate,1,0.5500000000000007,-4.5,-2.8800000000000097,0.0,101.44,7.666666666666667
1405.0,"WELL AT UDAIPUR (TUBEWELL), TRIPURA",TRIPURA,2018,26.0,7.65,143.0,91.52,,,2.0,Moderate,1,-0.5,-3.0,-1.9200000000000017,0.0,93.75999999999999,7.8
1405.0,"WELL AT UDAIPUR (TUBEWELL),
TRIPURA",TRIPURA,2019,25.0,6.0,139.5,89.28,,,1.0,Poor,0,-1.6500000000000004,-3.5,-2.239999999999995,-1.0,91.41333333333334,7.266666666666666
1405.0,"WELL AT UDAIPUR (TUBEWELL),
TRIPURA",TRIPURA,2021,25.0,6.5,104.5,66.88,,,2.0,Moderate,1,0.5,-35.0,-22.400000000000006,1.0,82.56,6.716666666666666
1406.0,"WELL AROUND UDAIPUR (TUBEWELL), TRIPURA",TRIPURA,2012,26.75,7.86,347.0,222.08,,,2.0,Moderate,1,,,,,,
1406.0,"WELL AROUND UDAIPUR (TUBEWELL), TRIPURA",TRIPURA,2013,26.5,7.6,353.0,225.92000000000002,,,2.0,Moderate,1,-0.2600000000000007,6.0,3.8400000000000034,0.0,,
1406.0,"WELL AROUND UDAIPUR (TUBEWELL), TRIPURA",TRIPURA,2014,27.25,7.699999999999999,348.0,222.72,,,2.0,Moderate,1,0.09999999999999964,-5.0,-3.200000000000017,0.0,223.57333333333335,7.72
1406.0,"WELL AROU
UDAIPUR
(TUBEWELL),
TRIPURA",TRIPURA,2015,26.5,6.9,348.0,222.72,,,2.0,Moderate,1,-0.7999999999999989,0.0,0.0,0.0,223.78666666666666,7.3999999999999995
1406.0,"WELL AROUND UDAIPUR
(TUBEWELL), TRIPURA",TRIPURA,2016,27.0,7.25,280.0,179.20000000000002,,,2.0,Moderate,1,0.34999999999999964,-68.0,-43.51999999999998,0.0,208.21333333333337,7.283333333333332
1406.0,"WELL AROUND UDAIPUR (TUBEWELL),
TRIPURA",TRIPURA,2017,26.0,7.1,231.0,147.84,,,2.0,Moderate,1,-0.15000000000000036,-49.0,-31.360000000000014,0.0,183.25333333333333,7.083333333333333
1406.0,"WELL AROUND UDAIPUR (TUBEWELL), TRIPURA",TRIPURA,2018,26.5,6.2,157.5,100.8,,,1.0,Poor,0,-0.8999999999999995,-73.5,-47.040000000000006,-1.0,142.61333333333332,6.8500000000000005
1406.0,"WELL AROUND UDAIPUR
(TUBEWELL), TRIPURA",TRIPURA,2019,24.75,6.05,160.0,102.4,,,1.0,Poor,0,-0.15000000000000036,2.5,1.6000000000000085,0.0,117.01333333333334,6.45
1406.0,"WELL AROUND UDAIPUR
(TUBEWELL), TRIPURA",TRIPURA,2021,25.0,6.5,114.0,72.96000000000001,,,2.0,Moderate,1,0.4500000000000002,-46.0,-29.439999999999998,1.0,92.05333333333334,6.25
1415.0,"WELL OF LOOMJI, CHAUDHARY, NEAR NAYAGAON, PALI, (U/S 1KM. FROM PALI TOWN)",RAJASTHAN,2012,28.0,8.01,1682.5,1076.8,,,1.5,Poor,0,,,,,,
1415.0,"WELL OF LOOMJI, CHAUDHARY, NEAR NAYAGAON, PALI, (U/S 1 KM. FROM PALI TOWN), RAJASTHAN",RAJASTHAN,2013,25.0,8.3,1682.5,1076.8,,,1.5,Poor,0,0.2900000000000009,0.0,0.0,0.0,,
1415.0,"WELL OF LOOMJI, CHAUDHARY, NEAR NAYAGAON, PALI, (U/S 1 KM. FROM PALI TOWN), RAJASTHAN",RAJASTHAN,2014,25.0,8.4,2500.0,1600.0,,,1.5,Poor,0,0.09999999999999964,817.5,523.2,0.0,1251.2,8.236666666666666
1415.0,"WELL OF LOOMJI,
CHAUDHARY, NEAR
NAYAGAON, PALI, (U/S 1
KM. FROM PALI TOWN),
RAJASTHAN",RAJASTHAN,2015,25.5,7.73,3300.0,2112.0,,,1.0,Poor,0,-0.6699999999999999,800.0,512.0,-0.5,1596.2666666666667,8.143333333333334
1415.0,"WELL OF LOOMJI,
CHAUDHARY, NEAR
NAYAGAON, PALI, (U/S 1 KM.
FROM PALI TOWN)",RAJASTHAN,2016,24.5,8.3,1682.5,1076.8,,,1.5,Poor,0,0.5700000000000003,-1617.5,-1035.2,0.5,1596.2666666666667,8.143333333333334
1415.0,"WELL OF LOOMJI, CHAUDHARY, NEAR
NAYAGAON, PALI, (U/S 1 KM. FROM PALI
TOWN), RAJASTHAN",RAJASTHAN,2017,22.0,8.5,1880.0,1203.2,,,1.5,Poor,0,0.1999999999999993,197.5,126.40000000000009,0.0,1464.0,8.176666666666668
1415.0,"WELL OF LOOMJI, CHAUDHARY, NEAR
NAYAGAON, PALI, (U/S 1 KM. FROM PALI TOWN),
RAJASTHAN",RAJASTHAN,2018,27.0,8.100000000000001,1682.5,1076.8,,,1.5,Poor,0,-0.3999999999999986,-197.5,-126.40000000000009,0.0,1118.9333333333334,8.3
1415.0,"WELL OF LOOMJI, CHAUDHARY,
NEAR NAYAGAON, PALI, (U/S 1
KM. FROM PALI TOWN),
RAJASTHAN",RAJASTHAN,2019,20.0,7.9,3500.0,2240.0,,,1.0,Poor,0,-0.20000000000000107,1817.5,1163.2,-0.5,1506.6666666666667,8.166666666666666
1415.0,"WELL OF LOOMJI, CHAUDHARY,
NEAR NAYAGAON, PALI, (U/S 1
KM. FROM PALI TOWN),
RAJASTHAN",RAJASTHAN,2021,22.3,7.85,1682.5,1076.8,,,1.5,Poor,0,-0.05000000000000071,-1817.5,-1163.2,0.5,1464.5333333333335,7.95
1416.0,WELL (U/S 1 KM FROM JODHPUR TOWN),RAJASTHAN,2012,24.0,8.615,1682.5,1076.8,,,0.5,Poor,0,,,,,,
1416.0,"WELL OF BHOPAL SINGH, 24 KM. FROM PALI TOWN, RAJASTHAN",RAJASTHAN,2013,26.0,8.75,1682.5,1076.8,,,0.5,Poor,0,0.1349999999999998,0.0,0.0,0.0,,
1416.0,"WELL OF BHOPAL SINGH, 24 KM. FROM PALI TOWN, RAJASTHAN",RAJASTHAN,2014,26.0,8.4,1682.5,1076.8,,,1.5,Poor,0,-0.34999999999999964,0.0,0.0,1.0,1076.8,8.588333333333333
1416.0,"WELL OF BHOPAL
SINGH, 24 KM. FROM
PALI TOWN, RAJASTHAN",RAJASTHAN,2015,26.5,7.73,1682.5,1076.8,,,1.5,Poor,0,-0.6699999999999999,0.0,0.0,0.0,1076.8,8.293333333333333
1416.0,"WELL OF BHOPAL SINGH, 24
KM. FROM PALI TOWN",RAJASTHAN,2016,24.5,8.649999999999999,1682.5,1076.8,,,0.5,Poor,0,0.9199999999999982,0.0,0.0,-1.0,1076.8,8.26
1416.0,"WELL OF BHOPAL SINGH, 24 KM. FROM PALI
TOWN, RAJASTHAN",RAJASTHAN,2017,24.0,8.75,1682.5,1076.8,,,0.5,Poor,0,0.10000000000000142,0.0,0.0,0.0,1076.8,8.376666666666667
1440.0,WELL AT SOMNATH INDL ESTATE,DAMAN AND DIU,2012,29.5,7.2,1215.5,777.9200000000001,,,1.5,Poor,0,,,,,,
